Date,RegionName,AreaCode,AveragePrice,Index,IndexSA,1m%Change,12m%Change,AveragePriceSA,SalesVolume,DetachedPrice,DetachedIndex,Detached1m%Change,Detached12m%Change,SemiDetachedPrice,SemiDetachedIndex,SemiDetached1m%Change,SemiDetached12m%Change,TerracedPrice,TerracedIndex,Terraced1m%Change,Terraced12m%Change,FlatPrice,FlatIndex,Flat1m%Change,Flat12m%Change,CashPrice,CashIndex,Cash1m%Change,Cash12m%Change,CashSalesVolume,MortgagePrice,MortgageIndex,Mortgage1m%Change,Mortgage12m%Change,MortgageSalesVolume,FTBPrice,FTBIndex,FTB1m%Change,FTB12m%Change,FOOPrice,FOOIndex,FOO1m%Change,FOO12m%Change,NewPrice,NewIndex,New1m%Change,New12m%Change,NewSalesVolume,OldPrice,OldIndex,Old1m%Change,Old12m%Change,OldSalesVolume
01/05/1998,Isle of Wight,E06000046,52104,19.3,,0.9,10.5,,266,83633,19.5,1,11.5,54891,18.6,0.8,10.9,41462,18.3,1.1,10.2,34027,21.5,0.3,8.5,,,,,,,,,,,,,,,,,,,61604,19.5,0,10.3,25,51919,19.3,0.9,10.6,241
01/06/1998,Isle of Wight,E06000046,53040,19.7,,1.8,11.7,,331,85254,19.9,1.9,12.4,55775,18.9,1.6,11.7,42139,18.6,1.6,11.4,34725,22,2.1,10.7,,,,,,,,,,,,,,,,,,,62406,19.8,1.3,11.8,32,52872,19.6,1.8,11.7,299
01/07/1998,Isle of Wight,E06000046,53726,19.9,,1.3,12.9,,413,86539,20.2,1.5,13.4,56443,19.2,1.2,12.8,42646,18.8,1.2,12.4,35136,22.2,1.2,12.5,,,,,,,,,,,,,,,,,,,63027,20,1,13.7,34,53567,19.9,1.3,12.8,379
01/08/1998,Isle of Wight,E06000046,54588,20.2,,1.6,12.2,,258,88265,20.6,2,12.7,57311,19.4,1.5,12.1,43247,19.1,1.4,11.7,35581,22.5,1.3,11.9,,,,,,,,,,,,,,,,,,,64057,20.3,1.6,13.6,19,54425,20.2,1.6,12,239
01/09/1998,Isle of Wight,E06000046,55757,20.7,,2.1,12.7,,301,90341,21.1,2.4,13.5,58547,19.9,2.2,12.5,44186,19.5,2.2,12.3,36188,22.9,1.7,11.9,,,,,,,,,,,,,,,,,,,65082,20.6,1.6,13.5,11,55614,20.7,2.2,12.6,290
01/10/1998,Isle of Wight,E06000046,56208,20.8,,0.8,11.7,,345,91017,21.3,0.7,12.3,58949,20,0.7,11.5,44466,19.6,0.6,11.3,36671,23.2,1.3,11.3,,,,,,,,,,,,,,,,,,,65709,20.8,1,12.6,20,56057,20.8,0.8,11.6,325
01/11/1998,Isle of Wight,E06000046,57389,21.3,,2.1,12.8,,292,93063,21.7,2.2,13.4,60213,20.4,2.1,12.6,45224,19.9,1.7,12.1,37518,23.7,2.3,12.6,,,,,,,,,,,,,,,,,,,67353,21.4,2.5,13.9,26,57218,21.3,2.1,12.7,266
01/12/1998,Isle of Wight,E06000046,57275,21.2,,-0.2,11.3,,301,92640,21.6,-0.5,11.6,60166,20.4,-0.1,11.2,45025,19.8,-0.4,10.6,37664,23.8,0.4,11.9,,,,,,,,,,,,,,,,,,,67945,21.5,0.9,13.3,25,57057,21.2,-0.3,11.2,276
01/01/1999,Isle of Wight,E06000046,56759,21,,-0.9,11.7,,245,91777,21.4,-0.9,11.8,59697,20.3,-0.8,11.8,44599,19.7,-0.9,10.8,37301,23.6,-1,12.2,,,,,,,,,,,,,,,,,,,67857,21.5,-0.1,13.7,15,56510,21,-1,11.5,230
01/02/1999,Isle of Wight,E06000046,55814,20.7,,-1.7,10.6,,206,89997,21,-1.9,10.8,58753,19.9,-1.6,10.8,43943,19.4,-1.5,10,36715,23.2,-1.6,10.6,,,,,,,,,,,,,,,,,,,66957,21.2,-1.3,11.6,16,55554,20.6,-1.7,10.5,190
01/03/1999,Isle of Wight,E06000046,57859,21.4,,3.7,15.3,,308,93196,21.8,3.6,15.6,60912,20.7,3.7,15.5,45603,20.1,3.8,14.6,38080,24.1,3.7,15.4,,,,,,,,,,,,,,,,,,,69244,22,3.4,15.6,31,57599,21.4,3.7,15.3,277
01/04/1999,Isle of Wight,E06000046,58739,21.8,,1.5,13.7,,300,94354,22,1.2,13.9,61825,21,1.5,13.6,46466,20.5,1.9,13.3,38676,24.4,1.6,14,,,,,,,,,,,,,,,,,,,69769,22.1,0.8,13.2,26,58508,21.7,1.6,13.7,274
01/05/1999,Isle of Wight,E06000046,59672,22.1,,1.6,14.5,,327,95680,22.3,1.4,14.4,62800,21.3,1.6,14.4,47327,20.9,1.9,14.1,39291,24.8,1.6,15.5,,,,,,,,,,,,,,,,,,,70767,22.4,1.4,14.9,20,59445,22.1,1.6,14.5,307
01/06/1999,Isle of Wight,E06000046,58644,21.7,,-1.7,10.6,,370,94069,22,-1.7,10.3,61671,20.9,-1.8,10.6,46606,20.5,-1.5,10.6,38520,24.4,-2,10.9,,,,,,,,,,,,,,,,,,,69482,22,-1.8,11.3,30,58425,21.7,-1.7,10.5,340
01/07/1999,Isle of Wight,E06000046,59591,22.1,,1.6,10.9,,434,96011,22.4,2.1,10.9,62569,21.2,1.5,10.9,47294,20.8,1.5,10.9,38985,24.6,1.2,11,,,,,,,,,,,,,,,,,,,70589,22.4,1.6,12,20,59370,22,1.6,10.8,414
01/08/1999,Isle of Wight,E06000046,60505,22.4,,1.5,10.8,,383,97672,22.8,1.7,10.7,63442,21.5,1.4,10.7,48026,21.2,1.5,11.1,39512,25,1.4,11,,,,,,,,,,,,,,,,,,,71142,22.6,0.8,11.1,17,60313,22.4,1.6,10.8,366
01/09/1999,Isle of Wight,E06000046,62335,23.1,,3,11.8,,386,100986,23.6,3.4,11.8,65249,22.1,2.8,11.4,49371,21.8,2.8,11.7,40668,25.7,2.9,12.4,,,,,,,,,,,,,,,,,,,72737,23.1,2.2,11.8,27,62173,23.1,3.1,11.8,359
